ID number,Grade/20.00
170030499,13
180030632,14
180031391,12
180031494,2
180330001,18
180330002,17
180330003,15
180330004,14
180330006,17
180330007,18
180330008,17
180330009,15
180330010,16
180330011,17
180330013,16
180330014,18
180330015,19
180330016,15
180330017,16
180330018,18
180330019,14
180330020,16
180330021,16
180330022,18
180330024,18
180330025,16
180330026,14
180330027,17
180330028,18
180330029,16
180330030,18
180330031,18
180330032,15
180330033,19
180330036,18
180330037,6
180330038,16
180330040,16
180330041,18
180330043,14
180330045,17
180330047,17
180330048,15
180330049,15
180330051,17
180330052,13
180330053,17
180330054,15
180330055,17
180330056,18
180330057,17
180330061,18
180330062,14
180330063,13
180330065,18
180330066,16
180330068,17
180330069,17
180330070,17
180330071,17
180330073,12
180330075,17
180330077,19
180330080,16
180330081,17
180330082,16
180330083,14
180330084,18
180330085,15
180330086,18
180330087,13
180330088,16
180330089,6
180330092,9
180330095,15
180330096,19
180330099,17
180330100,17
180330103,19
180330105,15
180330106,17
180330108,17
180330109,17
180330110,17
180330111,15
180330112,16
180330113,11
180330114,14
180330115,14
180330117,18
180330121,11
180330122,17
180330123,14
180330125,16
180330126,14
180330127,15
180330128,14
180330129,4
180330131,18
180330132,10
180330133,13
180330134,10
180330135,19
180330136,13
180330137,17
180330138,14
180330139,18
180330140,14
180330141,6
180330142,16
180330144,15
180330145,16
180330146,16
180330147,14
180330148,14
180330149,17
180330151,16
180330152,17
180330153,16
180330154,18
180330155,11
180330156,15
180330158,17
180330160,16
180330161,17
180330162,16
180330163,15
180330164,16
180330165,16
180330166,11
180330168,16
180330169,13
180330170,18
180330171,18
180330172,17
180330173,14
180330174,16
180330175,17
180330181,9
180330182,17
180330183,16
180330184,17
180330185,17
180330186,17
180330187,14
180330188,10
180330189,15
180330190,18
180330191,17
180330192,18
180330193,18
180330194,15
180330195,18
180330196,15
180330197,13
180330198,16
180330199,14
180330200,16
180330201,14
180330202,18
180330203,18
180330204,17
180330205,16
180330206,16
180330207,18
180330208,13
180330209,14
180330210,15
180330211,13
180330213,16
180330214,16
180330215,15
180330216,17
180330217,18
180330218,19
180330219,16
180330221,14
180330222,18
180330223,18
180330224,16
180330225,19
180330226,18
180330228,17
180330229,18
180330230,14
180330231,16
180330232,6
180330233,11
180330234,18
180330236,15
180330237,13
180330241,16
180330242,15
180330243,15
180330244,18
180330245,17
180330246,15
180330247,15
180330248,16
180330249,14
180330250,18
180330252,18
180330253,16
180330254,17
180330255,8
180330256,17
180330257,16
180330258,17
180330259,16
180330260,14
180330261,17
180330262,11
180330263,15
180330264,13
180330266,12
180330267,16
180330268,17
180330271,17
180330273,15
180330274,18
180330275,13
180330276,17
180330277,17
180330278,18
180330279,16
180330280,17
180330281,15
180330282,16
180330283,14
180330284,14
180330285,13
180330286,17
180330287,16
180330288,12
180330289,15
180330290,15
180330291,13
180330292,16
180330294,14
180330295,18
180330296,14
180330297,18
180340001,12
180340002,18
180340004,14
180340006,18
180340007,16
180340008,16
180340009,19
180340010,12
180340013,17
180340014,16
180340015,17
180340016,15
180340017,16
180340018,15
180340020,16
180340021,18
180340023,8
180340024,15
180340025,13
180340026,15
180340027,18
180340028,16
180340029,16
180340030,15
180340031,16
180340032,17
180340034,18
180340035,15
180340036,12
180340040,13
180340041,9
180340042,17
180340046,13
180340048,16
180340049,17
180340050,13
180340052,7
180340055,14
180340056,13
180340057,15
180340060,16
180340061,14
180340062,18
180340063,14
180340064,17
180340065,14
180340066,18
180349067,15
180349068,16
180349069,19
180349070,16
180349071,12
180349072,14
180349073,4
180541290,14
182440002,11
182440003,6
182440004,5
182440006,9
182440007,13
182440009,15
182440010,7
182440012,15
182440013,7
182440014,9
182440015,18
182440017,7
182440023,9
182440024,12
182440025,10
