ID number,Grade/20
182440025,14
182440024,8
182440023,9
182440018,4
182440017,9
182440015,17
182440014,5
182440013,8
182440012,9
182440010,11
182440009,8
182440008,4
182440007,11
182440006,11
182440003,8
182440002,8
180541290,11
180349073,16
180349072,7
180349071,8
180349070,8
180349069,15
180349068,10
180340066,14
180340065,11
180340064,8
180340063,15
180340062,9
180340061,9
180340060,10
180340057,7
180340056,14
180340055,10
180340052,7
180340050,7
180340049,10
180340048,9
180340046,13
180340042,14
180340041,8
180340040,5
180340036,6
180340035,11
180340034,16
180340032,8
180340031,10
180340030,9
180340029,14
180340028,10
180340027,13
180340026,13
180340025,11
180340024,15
180340023,9
180340021,15
180340020,12
180340018,16
180340017,16
180340016,11
180340015,17
180340014,10
180340013,15
180340010,9
180340009,10
180340008,11
180340007,11
180340006,5
180340004,10
180340002,15
180330297,14
180330296,14
180330295,14
180330294,10
180330292,11
180330291,10
180330290,7
180330289,15
180330288,9
180330287,10
180330286,12
180330285,13
180330284,10
180330283,11
180330282,13
180330281,16
180330280,15
180330279,15
180330278,16
180330277,16
180330276,13
180330275,4
180330274,16
180330273,11
180330271,13
180330268,14
180330267,10
180330266,5
180330264,4
180330263,16
180330262,13
180330261,17
180330260,9
180330259,11
180330258,15
180330257,5
180330256,14
180330255,13
180330254,15
180330253,13
180330252,16
180330250,13
180330249,12
180330248,10
180330247,16
180330246,9
180330245,15
180330244,19
180330243,9
180330242,12
180330241,14
180330237,5
180330236,9
180330234,12
180330233,12
180330232,11
180330230,11
180330229,13
180330228,18
180330226,15
180330225,17
180330224,14
180330223,14
180330222,10
180330221,14
180330219,14
180330218,11
180330217,12
180330216,15
180330215,12
180330214,12
180330213,9
180330211,10
180330210,9
180330209,10
180330208,9
180330207,17
180330206,12
180330205,15
180330204,10
180330203,18
180330202,13
180330201,10
180330200,16
180330199,9
180330198,12
180330197,12
180330196,7
180330195,14
180330194,12
180330193,14
180330192,13
180330191,16
180330190,18
180330189,11
180330188,15
180330187,11
180330186,11
180330185,14
180330184,16
180330183,6
180330182,17
180330181,12
180330175,8
180330174,10
180330173,9
180330172,13
180330171,14
180330170,13
180330169,4
180330168,11
180330165,16
180330164,15
180330163,15
180330162,14
180330161,15
180330160,16
180330158,16
180330157,12
180330156,14
180330155,10
180330154,14
180330153,17
180330152,16
180330151,14
180330149,13
180330148,11
180330147,9
180330146,10
180330145,15
180330144,16
180330142,15
180330141,11
180330140,18
180330139,10
180330137,16
180330136,12
180330135,18
180330134,11
180330133,16
180330132,13
180330131,12
180330128,12
180330127,12
180330126,9
180330125,16
180330123,11
180330122,6
180330121,5
180330117,17
180330115,8
180330114,15
180330113,9
180330112,17
180330111,8
180330110,12
180330109,11
180330108,13
180330106,12
180330105,7
180330103,15
180330100,11
180330099,13
180330096,16
180330095,13
180330092,18
180330089,9
180330088,13
180330087,11
180330086,15
180330085,13
180330084,12
180330083,12
180330082,17
180330081,15
180330080,14
180330079,11
180330077,13
180330075,17
180330073,6
180330071,10
180330070,13
180330069,15
180330068,16
180330066,14
180330065,15
180330063,10
180330062,14
180330061,13
180330057,15
180330056,14
180330055,12
180330054,13
180330053,14
180330052,10
180330051,11
180330049,11
180330048,11
180330047,13
180330045,15
180330043,13
180330041,14
180330040,17
180330038,12
180330037,11
180330036,15
180330033,17
180330032,11
180330031,18
180330030,14
180330029,15
180330028,16
180330027,16
180330026,13
180330025,18
180330024,16
180330022,17
180330021,15
180330020,19
180330019,11
180330018,14
180330017,12
180330016,13
180330015,14
180330014,20
180330013,15
180330011,16
180330010,12
180330009,14
180330008,15
180330007,12
180330006,12
180330004,12
180330003,15
180330002,13
180330001,15
180031391,4
180030632,16
170030499,8
